,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,metadata,text_content
110,15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011.0,Casual,Turtle Check Men Yellow Shirt,"{'id': '15984', 'gender': 'Men', 'masterCategory': 'Apparel', 'subCategory': 'Topwear', 'articleType': 'Shirts', 'baseColour': 'Yellow', 'season': 'Fall', 'year': '2011.0', 'usage': 'Casual', 'productDisplayName': 'Turtle Check Men Yellow Shirt'}",Men :: Apparel :: Topwear :: Shirts :: Yellow :: Fall :: 2011.0 :: Casual :: Turtle Check Men Yellow Shirt
111,41268,Men,Accessories,Wallets,Wallets,Black,Summer,2012.0,Casual,Arrow Men Black Wallet,"{'id': '41268', 'gender': 'Men', 'masterCategory': 'Accessories', 'subCategory': 'Wallets', 'articleType': 'Wallets', 'baseColour': 'Black', 'season': 'Summer', 'year': '2012.0', 'usage': 'Casual', 'productDisplayName': 'Arrow Men Black Wallet'}",Men :: Accessories :: Wallets :: Wallets :: Black :: Summer :: 2012.0 :: Casual :: Arrow Men Black Wallet
112,11518,Women,Footwear,Shoes,Heels,Grey,Winter,2015.0,Casual,Catwalk Women Gun Metal Grey Heels,"{'id': '11518', 'gender': 'Women', 'masterCategory': 'Footwear', 'subCategory': 'Shoes', 'articleType': 'Heels', 'baseColour': 'Grey', 'season': 'Winter', 'year': '2015.0', 'usage': 'Casual', 'productDisplayName': 'Catwalk Women Gun Metal Grey Heels'}",Women :: Footwear :: Shoes :: Heels :: Grey :: Winter :: 2015.0 :: Casual :: Catwalk Women Gun Metal Grey Heels
113,14856,Women,Accessories,Wallets,Wallets,Beige,Summer,2011.0,Casual,United Colors of Benetton Women Solid Beige Wallets,"{'id': '14856', 'gender': 'Women', 'masterCategory': 'Accessories', 'subCategory': 'Wallets', 'articleType': 'Wallets', 'baseColour': 'Beige', 'season': 'Summer', 'year': '2011.0', 'usage': 'Casual', 'productDisplayName': 'United Colors of Benetton Women Solid Beige Wallets'}",Women :: Accessories :: Wallets :: Wallets :: Beige :: Summer :: 2011.0 :: Casual :: United Colors of Benetton Women Solid Beige Wallets
114,33648,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Lotto Men Ridge Brown Sandals,"{'id': '33648', 'gender': 'Men', 'masterCategory': 'Footwear', 'subCategory': 'Sandal', 'articleType': 'Sandals', 'baseColour': 'Brown', 'season': 'Summer', 'year': '2012.0', 'usage': 'Casual', 'productDisplayName': 'Lotto Men Ridge Brown Sandals'}",Men :: Footwear :: Sandal :: Sandals :: Brown :: Summer :: 2012.0 :: Casual :: Lotto Men Ridge Brown Sandals
115,59297,Men,Apparel,Topwear,Shirts,White,Fall,2012.0,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,"{'id': '59297', 'gender': 'Men', 'masterCategory': 'Apparel', 'subCategory': 'Topwear', 'articleType': 'Shirts', 'baseColour': 'White', 'season': 'Fall', 'year': '2012.0', 'usage': 'Casual', 'productDisplayName': 'U.S. Polo Assn. Men White & Navy Blue Shirt'}",Men :: Apparel :: Topwear :: Shirts :: White :: Fall :: 2012.0 :: Casual :: U.S. Polo Assn. Men White & Navy Blue Shirt
116,28032,Men,Apparel,Innerwear,Briefs,White,Summer,2016.0,Casual,Jockey ELANCE Men Bikini White Brief 1005,"{'id': '28032', 'gender': 'Men', 'masterCategory': 'Apparel', 'subCategory': 'Innerwear', 'articleType': 'Briefs', 'baseColour': 'White', 'season': 'Summer', 'year': '2016.0', 'usage': 'Casual', 'productDisplayName': 'Jockey ELANCE Men Bikini White Brief 1005'}",Men :: Apparel :: Innerwear :: Briefs :: White :: Summer :: 2016.0 :: Casual :: Jockey ELANCE Men Bikini White Brief 1005
117,27846,Women,Apparel,Topwear,Blazers,Charcoal,Summer,2012.0,Formal,Scullers For Her Charcoal Blazer,"{'id': '27846', 'gender': 'Women', 'masterCategory': 'Apparel', 'subCategory': 'Topwear', 'articleType': 'Blazers', 'baseColour': 'Charcoal', 'season': 'Summer', 'year': '2012.0', 'usage': 'Formal', 'productDisplayName': 'Scullers For Her Charcoal Blazer'}",Women :: Apparel :: Topwear :: Blazers :: Charcoal :: Summer :: 2012.0 :: Formal :: Scullers For Her Charcoal Blazer
118,26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,2012.0,Casual,Jealous 21 Women Black Jeans,"{'id': '26994', 'gender': 'Women', 'masterCategory': 'Apparel', 'subCategory': 'Bottomwear', 'articleType': 'Jeans', 'baseColour': 'Black', 'season': 'Summer', 'year': '2012.0', 'usage': 'Casual', 'productDisplayName': 'Jealous 21 Women Black Jeans'}",Women :: Apparel :: Bottomwear :: Jeans :: Black :: Summer :: 2012.0 :: Casual :: Jealous 21 Women Black Jeans
119,49839,Women,Footwear,Flip Flops,Flip Flops,Red,Winter,2012.0,Casual,iPanema Women Red Flip Flops,"{'id': '49839', 'gender': 'Women', 'masterCategory': 'Footwear', 'subCategory': 'Flip Flops', 'articleType': 'Flip Flops', 'baseColour': 'Red', 'season': 'Winter', 'year': '2012.0', 'usage': 'Casual', 'productDisplayName': 'iPanema Women Red Flip Flops'}",Women :: Footwear :: Flip Flops :: Flip Flops :: Red :: Winter :: 2012.0 :: Casual :: iPanema Women Red Flip Flops
120,31923,Women,Accessories,Bags,Handbags,Blue,Summer,2012.0,Casual,Fabindia Women Blue Silk Sling Bag,"{'id': '31923', 'gender': 'Women', 'masterCategory': 'Accessories', 'subCategory': 'Bags', 'articleType': 'Handbags', 'baseColour': 'Blue', 'season': 'Summer', 'year': '2012.0', 'usage': 'Casual', 'productDisplayName': 'Fabindia Women Blue Silk Sling Bag'}",Women :: Accessories :: Bags :: Handbags :: Blue :: Summer :: 2012.0 :: Casual :: Fabindia Women Blue Silk Sling Bag
121,2618,Women,Footwear,Shoes,Flats,Silver,Spring,2010.0,Casual,Carlton London Women Silver Wedge Sandal,"{'id': '2618', 'gender': 'Women', 'masterCategory': 'Footwear', 'subCategory': 'Shoes', 'articleType': 'Flats', 'baseColour': 'Silver', 'season': 'Spring', 'year': '2010.0', 'usage': 'Casual', 'productDisplayName': 'Carlton London Women Silver Wedge Sandal'}",Women :: Footwear :: Shoes :: Flats :: Silver :: Spring :: 2010.0 :: Casual :: Carlton London Women Silver Wedge Sandal
122,54588,Women,Apparel,Topwear,Kurtas,Green,Summer,2012.0,Ethnic,Sushilas Women Printed Green Kurta,"{'id': '54588', 'gender': 'Women', 'masterCategory': 'Apparel', 'subCategory': 'Topwear', 'articleType': 'Kurtas', 'baseColour': 'Green', 'season': 'Summer', 'year': '2012.0', 'usage': 'Ethnic', 'productDisplayName': 'Sushilas Women Printed Green Kurta'}",Women :: Apparel :: Topwear :: Kurtas :: Green :: Summer :: 2012.0 :: Ethnic :: Sushilas Women Printed Green Kurta
123,49005,Women,Accessories,Jewellery,Ring,Silver,Summer,2012.0,Casual,Lucera Women Silver Ring,"{'id': '49005', 'gender': 'Women', 'masterCategory': 'Accessories', 'subCategory': 'Jewellery', 'articleType': 'Ring', 'baseColour': 'Silver', 'season': 'Summer', 'year': '2012.0', 'usage': 'Casual', 'productDisplayName': 'Lucera Women Silver Ring'}",Women :: Accessories :: Jewellery :: Ring :: Silver :: Summer :: 2012.0 :: Casual :: Lucera Women Silver Ring
124,8322,Boys,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,"{'id': '8322', 'gender': 'Boys', 'masterCategory': 'Apparel', 'subCategory': 'Topwear', 'articleType': 'Tshirts', 'baseColour': 'Blue', 'season': 'Fall', 'year': '2011.0', 'usage': 'Casual', 'productDisplayName': ""Doodle Boy's Route 66 Biker Blue Teen Kidswear""}",Boys :: Apparel :: Topwear :: Tshirts :: Blue :: Fall :: 2011.0 :: Casual :: Doodle Boy's Route 66 Biker Blue Teen Kidswear
125,13841,Unisex,Accessories,Watches,Watches,White,Winter,2016.0,Casual,ADIDAS Unisex Three Small Dials White Watches,"{'id': '13841', 'gender': 'Unisex', 'masterCategory': 'Accessories', 'subCategory': 'Watches', 'articleType': 'Watches', 'baseColour': 'White', 'season': 'Winter', 'year': '2016.0', 'usage': 'Casual', 'productDisplayName': 'ADIDAS Unisex Three Small Dials White Watches'}",Unisex :: Accessories :: Watches :: Watches :: White :: Winter :: 2016.0 :: Casual :: ADIDAS Unisex Three Small Dials White Watches
126,28200,Men,Accessories,Eyewear,Sunglasses,Copper,Winter,2016.0,Casual,Ray-Ban Men Active Lifestyle Copper Sunglasses,"{'id': '28200', 'gender': 'Men', 'masterCategory': 'Accessories', 'subCategory': 'Eyewear', 'articleType': 'Sunglasses', 'baseColour': 'Copper', 'season': 'Winter', 'year': '2016.0', 'usage': 'Casual', 'productDisplayName': 'Ray-Ban Men Active Lifestyle Copper Sunglasses'}",Men :: Accessories :: Eyewear :: Sunglasses :: Copper :: Winter :: 2016.0 :: Casual :: Ray-Ban Men Active Lifestyle Copper Sunglasses
127,12993,Unisex,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,ADIDAS Kids Adispeed Black Sports Shoes,"{'id': '12993', 'gender': 'Unisex', 'masterCategory': 'Footwear', 'subCategory': 'Shoes', 'articleType': 'Sports Shoes', 'baseColour': 'Black', 'season': 'Fall', 'year': '2011.0', 'usage': 'Sports', 'productDisplayName': 'ADIDAS Kids Adispeed Black Sports Shoes'}",Unisex :: Footwear :: Shoes :: Sports Shoes :: Black :: Fall :: 2011.0 :: Sports :: ADIDAS Kids Adispeed Black Sports Shoes
128,7158,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Scullers Men  Green Check Shirt,"{'id': '7158', 'gender': 'Men', 'masterCategory': 'Apparel', 'subCategory': 'Topwear', 'articleType': 'Shirts', 'baseColour': 'Green', 'season': 'Fall', 'year': '2011.0', 'usage': 'Casual', 'productDisplayName': 'Scullers Men  Green Check Shirt'}",Men :: Apparel :: Topwear :: Shirts :: Green :: Fall :: 2011.0 :: Casual :: Scullers Men  Green Check Shirt
129,18495,Men,Footwear,Sandal,Sandals,White,Fall,2011.0,Casual,Puma Men Fashion Cat White Slipper,"{'id': '18495', 'gender': 'Men', 'masterCategory': 'Footwear', 'subCategory': 'Sandal', 'articleType': 'Sandals', 'baseColour': 'White', 'season': 'Fall', 'year': '2011.0', 'usage': 'Casual', 'productDisplayName': 'Puma Men Fashion Cat White Slipper'}",Men :: Footwear :: Sandal :: Sandals :: White :: Fall :: 2011.0 :: Casual :: Puma Men Fashion Cat White Slipper
130,8110,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Men Economy 2 Analg Black Watch,"{'id': '8110', 'gender': 'Men', 'masterCategory': 'Accessories', 'subCategory': 'Watches', 'articleType': 'Watches', 'baseColour': 'Black', 'season': 'Winter', 'year': '2016.0', 'usage': 'Casual', 'productDisplayName': 'Fastrack Men Economy 2 Analg Black Watch'}",Men :: Accessories :: Watches :: Watches :: Black :: Winter :: 2016.0 :: Casual :: Fastrack Men Economy 2 Analg Black Watch
131,19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,"{'id': '19547', 'gender': 'Men', 'masterCategory': 'Apparel', 'subCategory': 'Topwear', 'articleType': 'Sweatshirts', 'baseColour': 'Blue', 'season': 'Fall', 'year': '2011.0', 'usage': 'Casual', 'productDisplayName': 'United Colors of Benetton Men Solid Blue Sweatshirt'}",Men :: Apparel :: Topwear :: Sweatshirts :: Blue :: Fall :: 2011.0 :: Casual :: United Colors of Benetton Men Solid Blue Sweatshirt
132,7964,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Puma Men's Large Logo Graphic Black T-shirt,"{'id': '7964', 'gender': 'Men', 'masterCategory': 'Apparel', 'subCategory': 'Topwear', 'articleType': 'Tshirts', 'baseColour': 'Black', 'season': 'Fall', 'year': '2011.0', 'usage': 'Sports', 'productDisplayName': ""Puma Men's Large Logo Graphic Black T-shirt""}",Men :: Apparel :: Topwear :: Tshirts :: Black :: Fall :: 2011.0 :: Sports :: Puma Men's Large Logo Graphic Black T-shirt
133,36934,Women,Personal Care,Fragrance,Perfume and Body Mist,Gold,Spring,2017.0,Casual,Giorgio Armani Women Idole Perfume,"{'id': '36934', 'gender': 'Women', 'masterCategory': 'Personal Care', 'subCategory': 'Fragrance', 'articleType': 'Perfume and Body Mist', 'baseColour': 'Gold', 'season': 'Spring', 'year': '2017.0', 'usage': 'Casual', 'productDisplayName': 'Giorgio Armani Women Idole Perfume'}",Women :: Personal Care :: Fragrance :: Perfume and Body Mist :: Gold :: Spring :: 2017.0 :: Casual :: Giorgio Armani Women Idole Perfume
134,39140,Women,Apparel,Apparel Set,Kurta Sets,Black,Summer,2012.0,Ethnic,Aneri Women Black & Maroon Salwar Suit,"{'id': '39140', 'gender': 'Women', 'masterCategory': 'Apparel', 'subCategory': 'Apparel Set', 'articleType': 'Kurta Sets', 'baseColour': 'Black', 'season': 'Summer', 'year': '2012.0', 'usage': 'Ethnic', 'productDisplayName': 'Aneri Women Black & Maroon Salwar Suit'}",Women :: Apparel :: Apparel Set :: Kurta Sets :: Black :: Summer :: 2012.0 :: Ethnic :: Aneri Women Black & Maroon Salwar Suit
135,20851,Women,Accessories,Bags,Clutches,Red,Winter,2015.0,Casual,Spice Art Women Ribbon Embroidery Red Clutch,"{'id': '20851', 'gender': 'Women', 'masterCategory': 'Accessories', 'subCategory': 'Bags', 'articleType': 'Clutches', 'baseColour': 'Red', 'season': 'Winter', 'year': '2015.0', 'usage': 'Casual', 'productDisplayName': 'Spice Art Women Ribbon Embroidery Red Clutch'}",Women :: Accessories :: Bags :: Clutches :: Red :: Winter :: 2015.0 :: Casual :: Spice Art Women Ribbon Embroidery Red Clutch
136,41866,Men,Footwear,Sandal,Sandals,Beige,Fall,2015.0,Casual,Estd. 1977 Men Beige & Green Sandals,"{'id': '41866', 'gender': 'Men', 'masterCategory': 'Footwear', 'subCategory': 'Sandal', 'articleType': 'Sandals', 'baseColour': 'Beige', 'season': 'Fall', 'year': '2015.0', 'usage': 'Casual', 'productDisplayName': 'Estd. 1977 Men Beige & Green Sandals'}",Men :: Footwear :: Sandal :: Sandals :: Beige :: Fall :: 2015.0 :: Casual :: Estd. 1977 Men Beige & Green Sandals
137,58177,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Rocky S Women Brown Handbag,"{'id': '58177', 'gender': 'Women', 'masterCategory': 'Accessories', 'subCategory': 'Bags', 'articleType': 'Handbags', 'baseColour': 'Brown', 'season': 'Summer', 'year': '2012.0', 'usage': 'Casual', 'productDisplayName': 'Rocky S Women Brown Handbag'}",Women :: Accessories :: Bags :: Handbags :: Brown :: Summer :: 2012.0 :: Casual :: Rocky S Women Brown Handbag
138,44528,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,Coolers Men Black Sandals,"{'id': '44528', 'gender': 'Men', 'masterCategory': 'Footwear', 'subCategory': 'Sandal', 'articleType': 'Sandals', 'baseColour': 'Black', 'season': 'Summer', 'year': '2012.0', 'usage': 'Casual', 'productDisplayName': 'Coolers Men Black Sandals'}",Men :: Footwear :: Sandal :: Sandals :: Black :: Summer :: 2012.0 :: Casual :: Coolers Men Black Sandals
139,16392,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Levis Men Check Red Shirts,"{'id': '16392', 'gender': 'Men', 'masterCategory': 'Apparel', 'subCategory': 'Topwear', 'articleType': 'Shirts', 'baseColour': 'Red', 'season': 'Fall', 'year': '2011.0', 'usage': 'Casual', 'productDisplayName': 'Levis Men Check Red Shirts'}",Men :: Apparel :: Topwear :: Shirts :: Red :: Fall :: 2011.0 :: Casual :: Levis Men Check Red Shirts
140,51455,Women,Apparel,Topwear,Shrug,Pink,Summer,2012.0,Casual,Tonga Women Pink Printed Shrug,"{'id': '51455', 'gender': 'Women', 'masterCategory': 'Apparel', 'subCategory': 'Topwear', 'articleType': 'Shrug', 'baseColour': 'Pink', 'season': 'Summer', 'year': '2012.0', 'usage': 'Casual', 'productDisplayName': 'Tonga Women Pink Printed Shrug'}",Women :: Apparel :: Topwear :: Shrug :: Pink :: Summer :: 2012.0 :: Casual :: Tonga Women Pink Printed Shrug
141,50587,Men,Apparel,Innerwear,Briefs,Grey,Summer,2016.0,Casual,Chromozome Men Grey Briefs,"{'id': '50587', 'gender': 'Men', 'masterCategory': 'Apparel', 'subCategory': 'Innerwear', 'articleType': 'Briefs', 'baseColour': 'Grey', 'season': 'Summer', 'year': '2016.0', 'usage': 'Casual', 'productDisplayName': 'Chromozome Men Grey Briefs'}",Men :: Apparel :: Innerwear :: Briefs :: Grey :: Summer :: 2016.0 :: Casual :: Chromozome Men Grey Briefs
142,17240,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,"{'id': '17240', 'gender': 'Men', 'masterCategory': 'Apparel', 'subCategory': 'Topwear', 'articleType': 'Tshirts', 'baseColour': 'Black', 'season': 'Fall', 'year': '2011.0', 'usage': 'Casual', 'productDisplayName': 'U.S. Polo Assn. Men Stripes Black  Polo Tshirt'}",Men :: Apparel :: Topwear :: Tshirts :: Black :: Fall :: 2011.0 :: Casual :: U.S. Polo Assn. Men Stripes Black  Polo Tshirt
143,47530,Women,Footwear,Shoes,Flats,Copper,Winter,2012.0,Casual,Portia Women Copper-Toned & Brown Sandals,"{'id': '47530', 'gender': 'Women', 'masterCategory': 'Footwear', 'subCategory': 'Shoes', 'articleType': 'Flats', 'baseColour': 'Copper', 'season': 'Winter', 'year': '2012.0', 'usage': 'Casual', 'productDisplayName': 'Portia Women Copper-Toned & Brown Sandals'}",Women :: Footwear :: Shoes :: Flats :: Copper :: Winter :: 2012.0 :: Casual :: Portia Women Copper-Toned & Brown Sandals
144,6617,Men,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,Spykar Men Black and white Check Shirt,"{'id': '6617', 'gender': 'Men', 'masterCategory': 'Apparel', 'subCategory': 'Topwear', 'articleType': 'Shirts', 'baseColour': 'Black', 'season': 'Summer', 'year': '2011.0', 'usage': 'Casual', 'productDisplayName': 'Spykar Men Black and white Check Shirt'}",Men :: Apparel :: Topwear :: Shirts :: Black :: Summer :: 2011.0 :: Casual :: Spykar Men Black and white Check Shirt
145,12732,Unisex,Accessories,Bags,Backpacks,Black,Fall,2011.0,Sports,Nike Unisex Swoosh Black Backpack,"{'id': '12732', 'gender': 'Unisex', 'masterCategory': 'Accessories', 'subCategory': 'Bags', 'articleType': 'Backpacks', 'baseColour': 'Black', 'season': 'Fall', 'year': '2011.0', 'usage': 'Sports', 'productDisplayName': 'Nike Unisex Swoosh Black Backpack'}",Unisex :: Accessories :: Bags :: Backpacks :: Black :: Fall :: 2011.0 :: Sports :: Nike Unisex Swoosh Black Backpack
146,3365,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Myntra Men's Brain Black T-shirt,"{'id': '3365', 'gender': 'Men', 'masterCategory': 'Apparel', 'subCategory': 'Topwear', 'articleType': 'Tshirts', 'baseColour': 'Black', 'season': 'Summer', 'year': '2011.0', 'usage': 'Casual', 'productDisplayName': ""Myntra Men's Brain Black T-shirt""}",Men :: Apparel :: Topwear :: Tshirts :: Black :: Summer :: 2011.0 :: Casual :: Myntra Men's Brain Black T-shirt
147,42042,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes,"{'id': '42042', 'gender': 'Men', 'masterCategory': 'Footwear', 'subCategory': 'Shoes', 'articleType': 'Sports Shoes', 'baseColour': 'White', 'season': 'Summer', 'year': '2012.0', 'usage': 'Sports', 'productDisplayName': 'Nike Men Air Relentless 2 MSL White Sports Shoes'}",Men :: Footwear :: Shoes :: Sports Shoes :: White :: Summer :: 2012.0 :: Sports :: Nike Men Air Relentless 2 MSL White Sports Shoes
148,23849,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes,"{'id': '23849', 'gender': 'Men', 'masterCategory': 'Footwear', 'subCategory': 'Shoes', 'articleType': 'Casual Shoes', 'baseColour': 'Black', 'season': 'Fall', 'year': '2011.0', 'usage': 'Casual', 'productDisplayName': 'ADIDAS Men Black Anzo Breeze Casual Shoes'}",Men :: Footwear :: Shoes :: Casual Shoes :: Black :: Fall :: 2011.0 :: Casual :: ADIDAS Men Black Anzo Breeze Casual Shoes
149,43190,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Fastrack Women White Dial Watch,"{'id': '43190', 'gender': 'Women', 'masterCategory': 'Accessories', 'subCategory': 'Watches', 'articleType': 'Watches', 'baseColour': 'White', 'season': 'Winter', 'year': '2016.0', 'usage': 'Casual', 'productDisplayName': 'Fastrack Women White Dial Watch'}",Women :: Accessories :: Watches :: Watches :: White :: Winter :: 2016.0 :: Casual :: Fastrack Women White Dial Watch
150,48578,Men,Accessories,Jewellery,Bracelet,Steel,Summer,2012.0,Casual,Revv Men Steel Bracelet,"{'id': '48578', 'gender': 'Men', 'masterCategory': 'Accessories', 'subCategory': 'Jewellery', 'articleType': 'Bracelet', 'baseColour': 'Steel', 'season': 'Summer', 'year': '2012.0', 'usage': 'Casual', 'productDisplayName': 'Revv Men Steel Bracelet'}",Men :: Accessories :: Jewellery :: Bracelet :: Steel :: Summer :: 2012.0 :: Casual :: Revv Men Steel Bracelet
151,30462,Women,Apparel,Innerwear,Bra,Black,Summer,2014.0,Casual,Lovable Women All Day Long Black Bra,"{'id': '30462', 'gender': 'Women', 'masterCategory': 'Apparel', 'subCategory': 'Innerwear', 'articleType': 'Bra', 'baseColour': 'Black', 'season': 'Summer', 'year': '2014.0', 'usage': 'Casual', 'productDisplayName': 'Lovable Women All Day Long Black Bra'}",Women :: Apparel :: Innerwear :: Bra :: Black :: Summer :: 2014.0 :: Casual :: Lovable Women All Day Long Black Bra
